"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Omar BRAVO ","MEX"," 28'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"2","Yahya GOLMOHAMMADI ","IRN"," 36'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"3","Omar BRAVO ","MEX"," 76'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"4","ZINHA ","MEX"," 79'","Mexico - Iran","3:1 (1:1)","MatchDateTimeVenue / StadiumAttendance711 June 2006 18:00Nuremberg  / easyCredit-Stadion41000","7","1 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"5","PAULETA ","POR"," 4'","Angola - Portugal","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance811 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","8","1 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"6",NA,NA,NA,"Mexico - Angola","0:0","MatchDateTimeVenue / StadiumAttendance2316 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","23","16 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"7","Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"8","Cristian ZACCARDO ","ITA"," 27' Own goal","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"9","MANICHE ","POR"," 6'","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","39","21 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"10","SIMAO ","POR"," 24' Penalty goal","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","39","21 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"11","Jose FONSECA ","MEX"," 29'","Portugal - Mexico","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance3921 June 2006 16:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","39","21 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"12","ABOU TARIKA ","ANG"," 60'","Iran - Angola","1:1 (0:0)","MatchDateTimeVenue / StadiumAttendance4021 June 2006 16:00Leipzig  / Red Bull Arena38000","40","21 June 2006"," ","Leipzig  / Red Bull Arena38000"
"13","Sohrab BAKHTIARIZADEH ","IRN"," 75'","Iran - Angola","1:1 (0:0)","MatchDateTimeVenue / StadiumAttendance4021 June 2006 16:00Leipzig  / Red Bull Arena38000","40","21 June 2006"," ","Leipzig  / Red Bull Arena38000"
