"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","Andrea PIRLO ","ITA"," 40'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","9","2 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"2","Vincenzo IAQUINTA ","ITA"," 83'","Italy - Ghana","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance912 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","9","2 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"3","Jan KOLLER ","CZE"," 5'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","10","12 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"4","Tomas ROSICKY ","CZE"," 36'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","10","12 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"5","Tomas ROSICKY ","CZE"," 76'","USA - Czech Republic","0:3 (0:2)","MatchDateTimeVenue / StadiumAttendance1012 June 2006 18:00Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000","10","12 June 2006"," ","Gelsenkirchen  / FIFA World Cup Stadium, Gelsenkirchen52000"
"6","Alberto GILARDINO ","ITA"," 22'","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"7","Cristian ZACCARDO ","ITA"," 27' Own goal","Italy - USA","1:1 (1:1)","MatchDateTimeVenue / StadiumAttendance2517 June 2006 21:00Kaiserslautern  / Fritz-Walter-Stadion46000","25","17 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"8","Asamoah GYAN ","GHA"," 2'","Czech Republic - Ghana","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance2617 June 2006 18:00Cologne  / FIFA World Cup Stadium, Cologne45000","26","17 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"9","Sulley MUNTARI ","GHA"," 82'","Czech Republic - Ghana","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance2617 June 2006 18:00Cologne  / FIFA World Cup Stadium, Cologne45000","26","17 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"10","Marco MATERAZZI ","ITA"," 26'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","41","22 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"11","Filippo INZAGHI ","ITA"," 87'","Czech Republic - Italy","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance4122 June 2006 16:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","41","22 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"12","Haminu DRAMAN ","GHA"," 22'","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000","42","22 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"13","Clint DEMPSEY ","USA"," 43'","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000","42","22 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"14","Stephen APPIAH ","GHA"," 45'+2 Penalty goal","Ghana - USA","2:1 (2:1)","MatchDateTimeVenue / StadiumAttendance4222 June 2006 16:00Nuremberg  / easyCredit-Stadion41000","42","22 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
