"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","KAKA ","BRA"," 44'","Brazil - Croatia","1:0 (1:0)","MatchDateTimeVenue / StadiumAttendance1113 June 2006 21:00Berlin  / Olympiastadion72000","11","13 June 2006"," ","Berlin  / Olympiastadion72000"
"2","Shunsuke NAKAMURA ","JPN"," 26'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"3","Tim CAHILL ","AUS"," 84'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"4","Tim CAHILL ","AUS"," 89'","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"5","John ALOISI ","AUS"," 90'+2","Australia - Japan","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1212 June 2006 15:00Kaiserslautern  / Fritz-Walter-Stadion46000","12","12 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"6","ADRIANO ","BRA"," 49'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000","27","18 June 2006"," ","Munich  / Allianz Arena66000"
"7","FRED ","BRA"," 90'","Brazil - Australia","2:0 (0:0)","MatchDateTimeVenue / StadiumAttendance2718 June 2006 18:00Munich  / Allianz Arena66000","27","18 June 2006"," ","Munich  / Allianz Arena66000"
"8",NA,NA,NA,"Japan - Croatia","0:0","MatchDateTimeVenue / StadiumAttendance2818 June 2006 15:00Nuremberg  / easyCredit-Stadion41000","28","18 June 2006"," ","Nuremberg  / easyCredit-Stadion41000"
"9","Keiji TAMADA ","JPN"," 34'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"10","RONALDO ","BRA"," 45'+1","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"11","JUNINHO PERNAMBUCANO ","BRA"," 53'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"12","GILBERTO MELO ","BRA"," 59'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"13","RONALDO ","BRA"," 81'","Japan - Brazil","1:4 (1:1)","MatchDateTimeVenue / StadiumAttendance4322 June 2006 21:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","43","22 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"14","Darijo SRNA ","CRO"," 2'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"15","Craig MOORE ","AUS"," 38' Penalty goal","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"16","Niko KOVAC ","CRO"," 56'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"17","Harry KEWELL ","AUS"," 79'","Croatia - Australia","2:2 (1:1)","MatchDateTimeVenue / StadiumAttendance4422 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","44","22 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
