"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1",NA,NA,NA,"France - Switzerland","0:0","MatchDateTimeVenue / StadiumAttendance1313 June 2006 18:00Stuttgart  / Mercedes-Benz Arena52000","13","13 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"2",3,2,1,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","14","13 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"3",2,1,2,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","14","13 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"4",1,1,3,"Korea Republic - Togo","2:1 (0:1)","MatchDateTimeVenue / StadiumAttendance1413 June 2006 15:00Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000","14","13 June 2006"," ","Frankfurt/Main  / FIFA World Cup Stadium, Frankfurt48000"
"5",2,1,2,"France - Korea Republic","1:1 (1:0)","MatchDateTimeVenue / StadiumAttendance2918 June 2006 21:00Leipzig  / Red Bull Arena43000","29","18 June 2006"," ","Leipzig  / Red Bull Arena43000"
"6",1,2,1,"France - Korea Republic","1:1 (1:0)","MatchDateTimeVenue / StadiumAttendance2918 June 2006 21:00Leipzig  / Red Bull Arena43000","29","18 June 2006"," ","Leipzig  / Red Bull Arena43000"
"7",1,1,1,"Togo - Switzerland","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3019 June 2006 15:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","30","19 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"8",2,1,2,"Togo - Switzerland","0:2 (0:1)","MatchDateTimeVenue / StadiumAttendance3019 June 2006 15:00Dortmund  / FIFA World Cup Stadium, Dortmund65000","30","19 June 2006"," ","Dortmund  / FIFA World Cup Stadium, Dortmund65000"
"9",1,1,1,"Togo - France","0:2 (0:0)","MatchDateTimeVenue / StadiumAttendance4523 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","45","23 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"10",2,1,2,"Togo - France","0:2 (0:0)","MatchDateTimeVenue / StadiumAttendance4523 June 2006 21:00Cologne  / FIFA World Cup Stadium, Cologne45000","45","23 June 2006"," ","Cologne  / FIFA World Cup Stadium, Cologne45000"
"11",2,1,1,"Switzerland - Korea Republic","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance4623 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","46","23 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
"12",1,1,2,"Switzerland - Korea Republic","2:0 (1:0)","MatchDateTimeVenue / StadiumAttendance4623 June 2006 21:00Hanover  / FIFA World Cup Stadium, Hanover43000","46","23 June 2006"," ","Hanover  / FIFA World Cup Stadium, Hanover43000"
