"","Player","Team","Time","teams","score","fullmatch","match","date","venue","attendance"
"1","XABI ALONSO ","ESP"," 13'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"2","David VILLA ","ESP"," 17'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"3","David VILLA ","ESP"," 48' Penalty goal","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"4","Fernando TORRES ","ESP"," 81'","Spain - Ukraine","4:0 (2:0)","MatchDateTimeVenue / StadiumAttendance1514 June 2006 15:00Leipzig  / Red Bull Arena43000","15","14 June 2006"," ","Leipzig  / Red Bull Arena43000"
"5","Zied JAZIRI ","TUN"," 23'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"6","Yasser AL KAHTANI ","KSA"," 57'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"7","Sami AL JABER ","KSA"," 84'","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"8","Radhi JAIDI ","TUN"," 90'+2","Tunisia - Saudi Arabia","2:2 (1:0)","MatchDateTimeVenue / StadiumAttendance1614 June 2006 18:00Munich  / Allianz Arena66000","16","14 June 2006"," ","Munich  / Allianz Arena66000"
"9","Jaouhar MNARI ","TUN"," 8'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"10","RAUL ","ESP"," 71'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"11","Fernando TORRES ","ESP"," 76'","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"12","Fernando TORRES ","ESP"," 90'+1 Penalty goal","Spain - Tunisia","3:1 (0:1)","MatchDateTimeVenue / StadiumAttendance3119 June 2006 21:00Stuttgart  / Mercedes-Benz Arena52000","31","19 June 2006"," ","Stuttgart  / Mercedes-Benz Arena52000"
"13","Andriy RUSOL ","UKR"," 4'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"14","Serhiy REBROV ","UKR"," 36'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"15","Andriy SHEVCHENKO ","UKR"," 46'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"16","Maksym KALINICHENKO ","UKR"," 84'","Saudi Arabia - Ukraine","0:4 (0:2)","MatchDateTimeVenue / StadiumAttendance3219 June 2006 18:00Hamburg  / FIFA World Cup Stadium, Hamburg50000","32","19 June 2006"," ","Hamburg  / FIFA World Cup Stadium, Hamburg50000"
"17","JUANITO ","ESP"," 36'","Saudi Arabia - Spain","0:1 (0:1)","MatchDateTimeVenue / StadiumAttendance4723 June 2006 16:00Kaiserslautern  / Fritz-Walter-Stadion46000","47","23 June 2006"," ","Kaiserslautern  / Fritz-Walter-Stadion46000"
"18","Andriy SHEVCHENKO ","UKR"," 70' Penalty goal","Ukraine - Tunisia","1:0 (0:0)","MatchDateTimeVenue / StadiumAttendance4823 June 2006 16:00Berlin  / Olympiastadion72000","48","23 June 2006"," ","Berlin  / Olympiastadion72000"
